css-175oi2r href,css-9pa8cd src,css-1jxf684,css-1jxf684 2,css-1jxf684 3,css-146c3p1,css-1jxf684 4,css-1jxf684 5,css-1jxf684 6,css-1jxf684 7,css-146c3p1 href,css-175oi2r href 4
https://x.com/sbp81,https://pbs.twimg.com/profile_images/2718313790/e5f40d3d9777a0b4eab2e15f5a21355f_normal.jpeg,SBP,@sbp81,·,4h,A dip shit what if the American government spent money on its people in veterans instead of wars?,38,,,https://x.com/sbp81/status/2038930857776345163,https://x.com/sbp81/status/2038930857776345163/analytics
https://x.com/supercreepsband,https://pbs.twimg.com/profile_images/2029026427694399490/_adISTr8_normal.jpg,tdawggrift,@supercreepsband,·,11h,,16,1,,https://x.com/supercreepsband/status/2038823299434901795,https://x.com/supercreepsband/status/2038823299434901795/analytics
https://x.com/supercreepsband,https://pbs.twimg.com/profile_images/2029026427694399490/_adISTr8_normal.jpg,tdawggrift,@supercreepsband,·,11h,,16,1,,https://x.com/supercreepsband/status/2038823299434901795,https://x.com/supercreepsband/status/2038823299434901795/analytics
https://x.com/Adam639689,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Adam,@Adam639689,·,2h,I imagine if we don’t spend our taxes money on Israel endless wars and we spend the money on our kids and our healthcare system,17,1,,https://x.com/Adam639689/status/2038962096218534169,https://x.com/Adam639689/status/2038962096218534169/analytics
https://x.com/spacemonkey_369,https://pbs.twimg.com/profile_images/2023619637640892416/YUdRi7Ew_normal.jpg,spacemonkey,@spacemonkey_369,·,13h,,731,4,8,https://x.com/spacemonkey_369/status/2038802792396017802,https://x.com/spacemonkey_369/status/2038802792396017802/analytics
https://x.com/khar_bozorg,https://pbs.twimg.com/profile_images/1833729832724971520/CDdgrWgD_normal.jpg,Khar Fahm,@khar_bozorg,·,11h,"If the Iranians didn’t spend that money on weapons, they would not have a country by now.",98,,,https://x.com/khar_bozorg/status/2038832347773374554,https://x.com/khar_bozorg/status/2038832347773374554/analytics
https://x.com/TomO85613447,https://pbs.twimg.com/profile_images/1870994820350844928/Ord2ZRp-_normal.jpg,Tom’s On Fire,@TomO85613447,·,11h,"We already DO spend trillions on our people, you fucking moron. The federal budget is $6-7 TRILLION every year. Look at this chart, idiot.",203,2,,https://x.com/TomO85613447/status/2038827246937379235,https://x.com/TomO85613447/status/2038827246937379235/analytics
https://x.com/FREEtheWordsnow,https://pbs.twimg.com/profile_images/2008017614144995328/nQcchdI-_normal.png,FREE the Words,@FREEtheWordsnow,·,1h,"If the Americans did the same, they might even reach the educational level of the Iranians.",10,,,https://x.com/FREEtheWordsnow/status/2038977761235103816,https://x.com/FREEtheWordsnow/status/2038977761235103816/analytics
https://x.com/ma71133277,https://pbs.twimg.com/profile_images/1192641566176886784/p7HtKpck_normal.jpg,NameMeNot10,@ma71133277,·,14h,RUBIO IS PART OF WHAT'S WRONG IN WASHINGTON. HE DOESN'T BELONG IN THE WH IRCLE AND NEITHER DO THE REST OF TRUMP'S INADEQUATE ADVISERS. THEY ARE SREERING HIM DOWN THE WRONG PATHS.,1.8K,,,https://x.com/ma71133277/status/2038791309322789107,https://x.com/ma71133277/status/2038791309322789107/analytics
https://x.com/lagenie24,https://pbs.twimg.com/profile_images/2003582553626910720/Bmc7zcXn_normal.jpg,LAGenie,@lagenie24,·,13h,I use to think it was hubris. Now I think it’s LSD,73,1,,https://x.com/lagenie24/status/2038795531863089308,https://x.com/lagenie24/status/2038795531863089308/analytics
https://x.com/spacemonkey_369,https://pbs.twimg.com/profile_images/2023619637640892416/YUdRi7Ew_normal.jpg,spacemonkey,@spacemonkey_369,·,13h,,731,4,8,https://x.com/spacemonkey_369/status/2038802792396017802,https://x.com/spacemonkey_369/status/2038802792396017802/analytics
https://x.com/CHRISTI12512382,https://pbs.twimg.com/profile_images/1638223299967582208/CZ_p98Rs_normal.jpg,CHRISTIE KERR,@CHRISTI12512382,·,12h,"YOU STUPID BASTARD RUBIO!
AS EVIL AS THE AYATOLLAH KHAMENEI WAS, HE WAS COMPARABLE TO WHAT TRUMP HAS RELEASED ON THE WORLD! 
BY KILLING HIM, TRUMP & THIS RECKLESS REGIME HAVE OPENED A HORNETS NEST OF TERRORISM ON THE WORLD THAT THEY HAVE NO FUCKING IDEA  HOW TO DEAL WITH OR STOP!",270,1,1,https://x.com/CHRISTI12512382/status/2038813051323867494,https://x.com/CHRISTI12512382/status/2038813051323867494/analytics
https://x.com/spacemonkey_369,https://pbs.twimg.com/profile_images/2023619637640892416/YUdRi7Ew_normal.jpg,spacemonkey,@spacemonkey_369,·,13h,,731,4,8,https://x.com/spacemonkey_369/status/2038802792396017802,https://x.com/spacemonkey_369/status/2038802792396017802/analytics
https://x.com/guy_mfg,https://pbs.twimg.com/profile_images/1612900747586199552/O5kyFLen_normal.jpg,Mfg Guy,@guy_mfg,·,16h,You really need to hire someone to stop you from saying stupid stuff. The US spends 126x as much as Iran on military spending. That's 50% more when compared to GDP and 33.7x more when on a per capita basis.,476,1,13,https://x.com/guy_mfg/status/2038758530807644486,https://x.com/guy_mfg/status/2038758530807644486/analytics
https://x.com/Bill_of_Rightss,https://pbs.twimg.com/profile_images/2013077139600310272/8VwCjSND_normal.jpg,21st Century Feudalism,@Bill_of_Rightss,·,13h,The ludicrous and hypocritical trash that comes  out of their mouths is getting unbearable. This idiot is representing USA. Every US American should be devastated and those that voted for Trump a 3rd time? Fool me once....,1.1K,3,,https://x.com/Bill_of_Rightss/status/2038803969901052234,https://x.com/Bill_of_Rightss/status/2038803969901052234/analytics
https://x.com/saavedrakorinna,https://pbs.twimg.com/profile_images/860668819496329216/L6P7rTmk_normal.jpg,Pia Saavedra_Personally,@saavedrakorinna,·,13h,"Imagine if you thought of THAT for your own citizens? You know, reliable healthcare, safe public learning spaces, and trustworthy police, for starters?",947,,,https://x.com/saavedrakorinna/status/2038800050047033720,https://x.com/saavedrakorinna/status/2038800050047033720/analytics
https://x.com/ZellaCashmere,https://pbs.twimg.com/profile_images/2038991425132810240/DMbIrbLL_normal.jpg,Zella,@ZellaCashmere,·,13h,,41,1,,https://x.com/ZellaCashmere/status/2038799051672469823,https://x.com/ZellaCashmere/status/2038799051672469823/analytics
https://x.com/grralph,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Gary Ralph,@grralph,·,11h,"Ah these hollow men.

Never realising that their criticisms are circular projections of their own failures and faults.",105,1,,https://x.com/grralph/status/2038823585113145363,https://x.com/grralph/status/2038823585113145363/analytics
https://x.com/BjGilger,https://pbs.twimg.com/profile_images/1754292023509819392/YKGPoWkp_normal.jpg,BJ Gilger,@BjGilger,·,9h,How about they didn’t steal it from the workers of America and let them spend the money?,8,,,https://x.com/BjGilger/status/2038864229135183915,https://x.com/BjGilger/status/2038864229135183915/analytics
